lat,long,type
-28.82345568,153.26075608,8
-28.82441573,153.25784555,8
-28.82455141,153.25804268,7
-28.82473418,153.25820503,6
-28.81780245,153.25110291,8
-28.81651193,153.25847995,7
-28.81723613,153.26455988,6
-28.82113449,153.26210977,6
-28.82307691,153.25957692,8
-28.82332399,153.25720572,8
-28.82332399,153.25720572,8
-28.8251033,153.26502507,8
-28.82430456,153.25758167,8
-28.82350846,153.25707485,8
-28.82317064,153.25717383,8
-28.81875017,153.25900587,8
-28.82322263,153.25757234,8
-28.82295501,153.25778804,8
-28.82326612,153.25828012,8
-28.82319595,153.25894132,7
-28.82490325,153.26183578,8
-28.82474627,153.25764216,8
-28.82650963,153.25740372,8
-28.82456844,153.25631645,8
-28.81777539,153.25420843,8
-28.82323557,153.2568466,8
-28.82331292,153.25690099,8
-28.81704331,153.26437811,6
-28.8230248,153.25857436,7
-28.82325501,153.25837308,8
-28.82316879,153.25999024,7
-28.82343403,153.26021666,8
-28.82404687,153.25778255,8
-28.82519409,153.26184207,8
-28.82612361,153.25511463,6
-28.82252181,153.25648225,7
-28.81812915,153.2592977,8
-28.81828574,153.2601781,7
-28.82040566,153.26113639,8
-28.82113126,153.26769445,7
-28.82290699,153.261454,8
-28.82391096,153.25932708,8
-28.82403063,153.25788635,8
-28.82403063,153.25788635,8
-28.82403063,153.25788635,8
-28.82427426,153.25807277,8
-28.82440586,153.25531783,8
-28.81510337,153.25448107,8
-28.82327733,153.25718084,8
-28.82319555,153.25838518,7
-28.8207754,153.2631909,8
-28.82298097,153.25947526,8
-28.82394586,153.25761184,8
-28.8251806,153.2587534,8
-28.82398295,153.25646116,8
-28.82357212,153.25733584,8
-28.82364097,153.25763833,7
-28.8226785,153.25992504,8
-28.82384501,153.25820552,8
-28.8256921,153.2598978,8
-28.82605699,153.25978143,7
-28.8254053,153.25463691,6
-28.82600244,153.24874608,8
-28.81927329,153.25357431,8
-28.80457496,153.25541936,7
-28.82268782,153.25854436,6
-28.82314971,153.26008928,8
-28.82427717,153.26378919,8
-28.82849185,153.26420969,8
-28.82432528,153.25729999,8
-28.8243881,153.255975,8
-28.82326931,153.25459323,8
-28.82192969,153.25455165,6
-28.82378499,153.25688682,8
-28.82398635,153.25702866,8
-28.82237566,153.26316615,8
-28.82532768,153.25827158,8
-28.8235067,153.25669938,8
-28.82329594,153.2606949,7
-28.82562299,153.26016814,8
-28.82481811,153.25815934,6
-28.8260475,153.25931581,6
-28.8197503,153.25382971,8
-28.82004029,153.26472284,8
-28.82306084,153.25928833,7
-28.8233658,153.2600799,8
-28.82400304,153.25744989,8
-28.82452428,153.25800496,8
-28.8257433,153.25914215,7
-28.818789,153.25545567,8
-28.82229397,153.25705341,8
-28.82537444,153.26184442,8
-28.82378899,153.25666849,8
-28.82152684,153.25740933,8
-28.82370362,153.2574575,7
-28.82365445,153.25757346,8
-28.81908305,153.28531115,8
-28.82401168,153.2578915,8
-28.82467719,153.25654525,8
-28.82347834,153.25659589,8
-28.82319878,153.25755178,8
-28.82303792,153.2578801,8
-28.82365965,153.2573797,8
-28.82371952,153.25743656,8
-28.82094713,153.26210494,8
-28.82373937,153.25765279,8
-28.82354638,153.25840533,8
-28.82400345,153.25772524,8
-28.82401062,153.25815124,8
-28.82449255,153.25855529,8
-28.82322159,153.25633178,8
-28.81633189,153.25984582,7
-28.82224911,153.25865441,8
-28.82386789,153.25752716,8
-28.82306523,153.26055213,6
-28.82352346,153.25936214,6
-28.82342587,153.2601678,8
-28.82458961,153.25811107,6
-28.82399767,153.25621406,8
-28.81964103,153.25690158,8
-28.81639896,153.25992119,7
-28.82340796,153.25736204,8
-28.82355537,153.25739051,8
-28.82321648,153.2576923,8
-28.82242027,153.25856075,8
-28.82325517,153.26006728,8
-28.82313948,153.26054047,8
-28.82339573,153.25989664,7
-28.82468398,153.25851168,8
-28.82471886,153.25785627,8
-28.8263365,153.25002406,8
-28.82447183,153.25482165,6
-28.82195633,153.25800783,8
-28.82133361,153.2619696,8
-28.82180648,153.26537555,8
-28.82351951,153.2595603,6
-28.82410293,153.25812744,8
-28.82410293,153.25812744,8
